file_id,md5_plaintext,md5_decrypted,sha256_plaintext,sha256_decrypted,exact_match
F01,b81781023e64d30b2be1b43f723eee13,b81781023e64d30b2be1b43f723eee13,aeaf527f4f51773cd3bcbf099f696556685a1121b72cad86c1b54c7d99f02091,aeaf527f4f51773cd3bcbf099f696556685a1121b72cad86c1b54c7d99f02091,True
F02,c8458e5b38da4348ac70ea89eae68e8a,c8458e5b38da4348ac70ea89eae68e8a,47db2a9e7f9afb9e5c0d98dd0cf723899c22f21849af26623bd8492db608343d,47db2a9e7f9afb9e5c0d98dd0cf723899c22f21849af26623bd8492db608343d,True
F03,1e2fe757ee61f9c70b9e2353b7391fe6,1e2fe757ee61f9c70b9e2353b7391fe6,8a06cdab9a8bbb7bdfeb403cbc21e3ad2b7af9cc8ffcd4226f053f9cd7105388,8a06cdab9a8bbb7bdfeb403cbc21e3ad2b7af9cc8ffcd4226f053f9cd7105388,True
F04,ac33e514a8cf0321f3be9a9431dfed4b,ac33e514a8cf0321f3be9a9431dfed4b,4c989d5e41e6825ab8b8bc3695c2e4017297d6e79e664df3e22630883df032ed,4c989d5e41e6825ab8b8bc3695c2e4017297d6e79e664df3e22630883df032ed,True
F05,8e85a0d09efac6d225bf8f06fd981f48,8e85a0d09efac6d225bf8f06fd981f48,b14a240a549ad4d8e03487fe363d279762bac04465bc05706f0993f8d00ee325,b14a240a549ad4d8e03487fe363d279762bac04465bc05706f0993f8d00ee325,True
F06,9c68b66310921c6e3c285c405bd5ee75,9c68b66310921c6e3c285c405bd5ee75,237e1050346c4ad523289f4ecf66b9d3e47b7e355de10bd4769126a18a17f1c1,237e1050346c4ad523289f4ecf66b9d3e47b7e355de10bd4769126a18a17f1c1,True
F07,247819510088e686939ffba368757204,247819510088e686939ffba368757204,2929dac64463122698359b040a0e96758727636594994c770e59c9a6cb61a842,2929dac64463122698359b040a0e96758727636594994c770e59c9a6cb61a842,True
F08,d257ed0969ed976ffa70c4fb3c390e57,d257ed0969ed976ffa70c4fb3c390e57,b4c43a1387fb539bfafdc81ba77f68c2fbd604fb3bede5a9e443d393e07e027d,b4c43a1387fb539bfafdc81ba77f68c2fbd604fb3bede5a9e443d393e07e027d,True
F09,31ec5ffb0b529fad20df7de20e684115,31ec5ffb0b529fad20df7de20e684115,91cdc799f945bbef7e56cd4a5dff67f2652b7e02d782d13bb762bf1c615cc9ea,91cdc799f945bbef7e56cd4a5dff67f2652b7e02d782d13bb762bf1c615cc9ea,True
F10,11cae58eea2a4cb035ba83eaa91cf555,11cae58eea2a4cb035ba83eaa91cf555,008b038a19b2a561d5101632410762dc75f99ba6abc816a6bda921a2f33e3a66,008b038a19b2a561d5101632410762dc75f99ba6abc816a6bda921a2f33e3a66,True
F11,36842db04295fa91d251d75a354a2056,36842db04295fa91d251d75a354a2056,43c71eeff910b0b34dad288c178953a2d355faab4f229a9dd11466fa24ec6f0d,43c71eeff910b0b34dad288c178953a2d355faab4f229a9dd11466fa24ec6f0d,True
F12,d7c50fdf47b8e3bbdd135eba84599490,d7c50fdf47b8e3bbdd135eba84599490,bedfd307108e0044581c9f1e3280483bb12c1e698ff195678aecc413f09b4a5d,bedfd307108e0044581c9f1e3280483bb12c1e698ff195678aecc413f09b4a5d,True
