file_id,plaintext_entropy,ciphertext_entropy,plaintext_adjacent_byte_correlation,ciphertext_adjacent_byte_correlation,chi_square_statistic,chi_square_p_value
F01,7.998194101271926,7.9985071291637295,-0.00398823517460923,-0.0004899646129467813,271.19140625,0.2321745976859183
F02,7.999358642659124,7.999259217609471,-0.0010089042294157326,-0.0020545971038893104,268.44140625,0.26946018988311743
F03,7.99964911042966,7.999708025838632,0.00015404052400952906,0.0018395522285749647,212.0927734375,0.9766179315949324
F04,7.997315615568811,7.997502835975379,0.003286021903491312,-0.004728843226747788,227.3359375,0.8929767209741964
F05,7.998708840614009,7.998698554125307,-0.004468725279477837,0.0026538676342534734,236.4296875,0.7920207819712302
F06,7.999345566227522,7.9993699378015295,-4.602041030628842e-05,-0.0017988154567033132,228.84765625,0.8790798538230189
F07,7.999650486254135,7.999716465229479,-0.00021452802152176702,-0.0015844853163776438,206.1474609375,0.9889658426135406
F08,7.996704907196669,7.997023620350205,-0.00093554276282021,0.0005805623473475445,269.6484375,0.2527020712901877
F09,7.998394262318194,7.998719761586013,0.003927467466896194,-0.0016329148677561207,232.796875,0.8373201247460859
F10,7.999267373073028,7.999265740849158,-0.002661298348749442,0.0027977456070093676,267.3359375,0.28532805475792994
F11,7.999628043314793,7.999587753918331,0.000145835859914171,0.0020934933530559943,300.173828125,0.027290116065296185
F12,7.997453071712945,7.997263579210306,-0.0014727059338373477,0.0020833334779734015,247.5078125,0.6199946409548374
