file_id,md5_plaintext,md5_decrypted,sha256_plaintext,sha256_decrypted,exact_match
docx_01,3287a9a71687e64b930f9990a6a7fa34,3287a9a71687e64b930f9990a6a7fa34,bb0fdba48b93beb7a92ed4a50e2b67b7dfc6fab73a9706725eeb4e9846d1b64c,bb0fdba48b93beb7a92ed4a50e2b67b7dfc6fab73a9706725eeb4e9846d1b64c,True
docx_02,a474a759d2c688de59ae26097e4c6758,a474a759d2c688de59ae26097e4c6758,64a2546ce62211e0a75d4392006a4283455a05027ff82d8b958593b6b4b1e076,64a2546ce62211e0a75d4392006a4283455a05027ff82d8b958593b6b4b1e076,True
docx_03,1963b96f12daf93ccc68047ff054fec1,1963b96f12daf93ccc68047ff054fec1,436553093ac1564279ad41277948a26a32953a76c54d9ccd54444a4ccbc1695d,436553093ac1564279ad41277948a26a32953a76c54d9ccd54444a4ccbc1695d,True
docx_04,9a140d5a081f8b7630ce603124c4555f,9a140d5a081f8b7630ce603124c4555f,95ea53e996f4fb7beef3871c9cdbada9a649f4d3dd7059e08d574ec0e4ce7300,95ea53e996f4fb7beef3871c9cdbada9a649f4d3dd7059e08d574ec0e4ce7300,True
jpeg_01,c33869d9d136f661c5a0d448af31c70f,c33869d9d136f661c5a0d448af31c70f,622ca503a43ef5e81415e97f7dcd44eb2119b17cb0685741749d6cc99c8b264f,622ca503a43ef5e81415e97f7dcd44eb2119b17cb0685741749d6cc99c8b264f,True
jpeg_02,1f1544800eebb20d223c825840048b5e,1f1544800eebb20d223c825840048b5e,91160ef2aebbf6e779b3e5b9f4fbb0b4a4f015d3ac96892c8c66bc0d24a9c486,91160ef2aebbf6e779b3e5b9f4fbb0b4a4f015d3ac96892c8c66bc0d24a9c486,True
jpeg_03,862ee0fbc8c3bc925bca7a84c2e85a7c,862ee0fbc8c3bc925bca7a84c2e85a7c,191d6755a9c2f63b3d414aacfc9f9ad0100b0532a8604103a7a8e62c203f408f,191d6755a9c2f63b3d414aacfc9f9ad0100b0532a8604103a7a8e62c203f408f,True
jpeg_04,02e28c6d3cea91963b7aee1fa812a855,02e28c6d3cea91963b7aee1fa812a855,19b491b0464a628a5925ab514f1dac86df8859eb30734d44f51d4ded5fd26a64,19b491b0464a628a5925ab514f1dac86df8859eb30734d44f51d4ded5fd26a64,True
pdf_01,734b5770029c374adf90669ea0961482,734b5770029c374adf90669ea0961482,f9331b23a1ba6e9617406df05b0a9047f65ab1452583fc5cfd4fe414f6c9e50c,f9331b23a1ba6e9617406df05b0a9047f65ab1452583fc5cfd4fe414f6c9e50c,True
pdf_02,9be235e418158fbd1deb1ce546fd3328,9be235e418158fbd1deb1ce546fd3328,494f8d4a38ef17c4fec43ff160b60269e7c712d484cc27aaa76f623226bcb351,494f8d4a38ef17c4fec43ff160b60269e7c712d484cc27aaa76f623226bcb351,True
pdf_03,7783f28f02752c49e58e66f842a04ba1,7783f28f02752c49e58e66f842a04ba1,a2742d87abaf59125ad1a0b557d2bab48a414cfe6b401b094f5e2313bbb73ee6,a2742d87abaf59125ad1a0b557d2bab48a414cfe6b401b094f5e2313bbb73ee6,True
pdf_04,e349ba033c140a54d65505523ab7ad7d,e349ba033c140a54d65505523ab7ad7d,e3bf8354c18158360c8ff500bd600ffe966977bf0324214b10aec47152926bba,e3bf8354c18158360c8ff500bd600ffe966977bf0324214b10aec47152926bba,True
