file_id,run_id,encryption_time_seconds,decryption_time_seconds,encryption_throughput_mb_s,decryption_throughput_mb_s,plaintext_size_bytes,ciphertext_size_bytes,expansion_bytes,expansion_percent,sha256_plaintext,sha256_decrypted,reconstruction_match
F01,1,0.021288494000145874,0.02276645500023733,5.871716430440944,5.490534209155397,131072,131072,0,0.0,aeaf527f4f51773cd3bcbf099f696556685a1121b72cad86c1b54c7d99f02091,aeaf527f4f51773cd3bcbf099f696556685a1121b72cad86c1b54c7d99f02091,True
F01,2,0.024182048000056966,0.022629047999998875,5.1691238062096945,5.523873562865138,131072,131072,0,0.0,aeaf527f4f51773cd3bcbf099f696556685a1121b72cad86c1b54c7d99f02091,aeaf527f4f51773cd3bcbf099f696556685a1121b72cad86c1b54c7d99f02091,True
F01,3,0.0231815350002762,0.019707893000031618,5.3922227323820735,6.342636424898362,131072,131072,0,0.0,aeaf527f4f51773cd3bcbf099f696556685a1121b72cad86c1b54c7d99f02091,aeaf527f4f51773cd3bcbf099f696556685a1121b72cad86c1b54c7d99f02091,True
F01,4,0.019745391000014934,0.023647857000014483,6.330591275701021,5.2858912331854615,131072,131072,0,0.0,aeaf527f4f51773cd3bcbf099f696556685a1121b72cad86c1b54c7d99f02091,aeaf527f4f51773cd3bcbf099f696556685a1121b72cad86c1b54c7d99f02091,True
F01,5,0.022547738999946887,0.02323916500017731,5.543793104944777,5.378850746102379,131072,131072,0,0.0,aeaf527f4f51773cd3bcbf099f696556685a1121b72cad86c1b54c7d99f02091,aeaf527f4f51773cd3bcbf099f696556685a1121b72cad86c1b54c7d99f02091,True
F02,1,0.042268084999705025,0.04086263699991832,5.914628022578848,6.118058411171548,262144,262144,0,0.0,47db2a9e7f9afb9e5c0d98dd0cf723899c22f21849af26623bd8492db608343d,47db2a9e7f9afb9e5c0d98dd0cf723899c22f21849af26623bd8492db608343d,True
F02,2,0.0441482440000982,0.041569932000129484,5.662739383234448,6.013962207088078,262144,262144,0,0.0,47db2a9e7f9afb9e5c0d98dd0cf723899c22f21849af26623bd8492db608343d,47db2a9e7f9afb9e5c0d98dd0cf723899c22f21849af26623bd8492db608343d,True
F02,3,0.042984954999610636,0.044429132000004756,5.815988408089866,5.626938649172197,262144,262144,0,0.0,47db2a9e7f9afb9e5c0d98dd0cf723899c22f21849af26623bd8492db608343d,47db2a9e7f9afb9e5c0d98dd0cf723899c22f21849af26623bd8492db608343d,True
F02,4,0.04528282199999012,0.041028424999694835,5.520857335261803,6.093336510038089,262144,262144,0,0.0,47db2a9e7f9afb9e5c0d98dd0cf723899c22f21849af26623bd8492db608343d,47db2a9e7f9afb9e5c0d98dd0cf723899c22f21849af26623bd8492db608343d,True
F02,5,0.04059804200005601,0.04438800599973547,6.157932444122677,5.63215207282548,262144,262144,0,0.0,47db2a9e7f9afb9e5c0d98dd0cf723899c22f21849af26623bd8492db608343d,47db2a9e7f9afb9e5c0d98dd0cf723899c22f21849af26623bd8492db608343d,True
