file_id,filename,nominal_size_label,plaintext_size_bytes,n_runs,encryption_time_seconds_mean,encryption_time_seconds_std,encryption_time_seconds_median,encryption_time_seconds_min,encryption_time_seconds_max,decryption_time_seconds_mean,decryption_time_seconds_std,decryption_time_seconds_median,decryption_time_seconds_min,decryption_time_seconds_max,encryption_throughput_mb_s_mean,encryption_throughput_mb_s_std,encryption_throughput_mb_s_median,encryption_throughput_mb_s_min,encryption_throughput_mb_s_max,decryption_throughput_mb_s_mean,decryption_throughput_mb_s_std,decryption_throughput_mb_s_median,decryption_throughput_mb_s_min,decryption_throughput_mb_s_max
F01,synthetic_docx_128KB.bin,128KB,131072,5,0.02218904140008817,0.0017225123888813323,0.022547738999946887,0.019745391000014934,0.024182048000056966,0.022398083600091923,0.0015568814164738012,0.02276645500023733,0.019707893000031618,0.023647857000014483,5.661489469935702,0.45295517396947993,5.543793104944777,5.1691238062096945,6.330591275701021,5.6043572352413475,0.42330935371675465,5.490534209155397,5.2858912331854615,6.342636424898362
F02,synthetic_docx_256KB.bin,256KB,262144,5,0.043056429599892,0.0017901918348230859,0.042984954999610636,0.04059804200005601,0.04528282199999012,0.04245562639989657,0.001801928751816477,0.041569932000129484,0.04086263699991832,0.044429132000004756,5.814429118657528,0.24353180191458285,5.815988408089866,5.520857335261803,6.157932444122677,5.896889570059079,0.24706906978427018,6.013962207088078,5.626938649172197,6.118058411171548
F03,synthetic_docx_512KB.bin,512KB,524288,5,0.08414936300014234,0.0023357793102082285,0.08332915300024979,0.08242327500011015,0.08807344300021214,0.08687633420004204,0.003443321233057215,0.08630975300002319,0.0833332510001128,0.09203241399973194,5.945383513585857,0.1606941034446531,6.0003009990813325,5.677080206786008,6.0662476709319275,5.762416504544426,0.22430861238438363,5.793088065028591,5.432868467423405,6.000005927997735
F04,synthetic_docx_64KB.bin,64KB,65536,5,0.010230366800078628,0.001004226293155435,0.01055342900008327,0.009063438999874052,0.011479088000214688,0.010325267800089933,0.0007365053116760413,0.010534553000070446,0.009419128999979876,0.011231148000206304,6.157126275210172,0.6106202265013762,5.922245745862019,5.444683410287568,6.89583722038274,6.07806322225779,0.4377386609987034,5.93285733144843,5.564880811725742,6.63543306394185
F05,synthetic_jpeg_128KB.bin,128KB,131072,5,0.021213704199908534,0.002747749773629784,0.019721854000181338,0.019143897999583714,0.025561033000030875,0.021015696400081652,0.001092442063319178,0.021359317999667837,0.01955277200022465,0.022078449000218825,5.9654976581436765,0.7069855109667553,6.338146504829143,4.8902561958215465,6.529495717262917,5.961063482916365,0.31581660725237065,5.852246780629602,5.6616295827103205,6.392955433560204
F06,synthetic_jpeg_256KB.bin,256KB,262144,5,0.04115809840004658,0.0008471890129454684,0.040986621000229206,0.04045566400009193,0.04258849400002873,0.042279143599898816,0.0014803212714796102,0.042708948999916174,0.04041638399985459,0.04365182099991216,6.076157473287273,0.12260326231579695,6.099551363324192,5.870130087244488,6.179604418294356,5.918942856906777,0.20930212215967695,5.853574153756176,5.727137935448399,6.185610271341925
F07,synthetic_jpeg_512KB.bin,512KB,524288,5,0.08644019140001546,0.0028704208643505597,0.08745005099990522,0.08156146400006037,0.0889377879998392,0.08599417439991157,0.0031570592125876266,0.08727016499960882,0.08053870300000199,0.08811778700010109,5.789635915751068,0.19915853189004024,5.717549552950426,5.621907304473369,6.13034606636818,5.820898719464325,0.2230990723970156,5.729334876383483,5.674223298406557,6.208195331876498
F08,synthetic_jpeg_64KB.bin,64KB,65536,5,0.01238022000006822,0.004398134215521005,0.010743129000275076,0.009847670999988622,0.02021873500007132,0.01182907439997507,0.0014018760860224108,0.011754830999961996,0.010631199999806995,0.01416165099999489,5.422874238875031,1.3222398201048946,5.817671927647867,3.0911924014919596,6.346678316128982,5.338081158581313,0.5767411170684842,5.316962872558701,4.413327231409851,5.878922417143376
F09,synthetic_pdf_128KB.bin,128KB,131072,5,0.02099884800009022,0.0018223584884547385,0.020275793000109843,0.01889466900001935,0.0229585050001333,0.021331523200024093,0.0011421124538944416,0.021568436000052316,0.019703726999978244,0.02255642699992677,5.988435074784418,0.5151869242506604,6.164986987158668,5.444605386948071,6.615622639373677,5.873635983890867,0.32157315310318857,5.795505988459099,5.541657816657125,6.343977461732901
F10,synthetic_pdf_256KB.bin,256KB,262144,5,0.0421219473999372,0.002131481145423837,0.041634224000063114,0.03992586599997594,0.04470783399983702,0.04310538419995282,0.0032562221340697705,0.04396156099983273,0.03755930199986324,0.04560170500008098,5.947219724772422,0.2982855867279199,6.004675384357374,5.591861149008278,6.261604945529563,5.828689789051095,0.4795151859411247,5.686786235842518,5.4822511570467825,6.656140734481975
F11,synthetic_pdf_512KB.bin,512KB,524288,5,0.08824143579995507,0.0021450441867917366,0.0889686199998323,0.0854655780003668,0.09087138299992148,0.09006031580001946,0.0032627886344861693,0.0891894209999009,0.08767360499996357,0.09573804000001473,5.6689622027953845,0.1383425270577995,5.619959037253163,5.502282275162821,5.8503085300359645,5.557435886596965,0.19328255785095672,5.606046035443548,5.222584460679611,5.702970694546069
F12,synthetic_pdf_64KB.bin,64KB,65536,5,0.01148950140004672,0.0007942049139594505,0.011700508000103582,0.01062296800000695,0.012595666999914101,0.011761626199950114,0.0007569044846897407,0.011943637000058516,0.010851289000129327,0.012648693999835814,5.460380332640215,0.3735832456071351,5.341648413850638,4.96202384521806,5.883478139062371,5.331714332041899,0.3464411084877405,5.23291188435263,4.941221599701224,5.759684402401882
