176,146,153,176,28,243,252,109,101,150,233,12,204,30,172,239
62,1,46,85,64,108,223,108,53,169,36,66,90,47,58,182
199,0,1,165,235,111,247,171,29,176,113,133,240,125,38,190
74,0,0,1,148,73,66,230,49,98,20,61,34,254,34,216
170,0,0,0,1,197,235,162,13,44,228,138,202,125,211,74
44,0,0,0,0,1,95,200,108,173,62,56,100,38,242,88
147,0,0,0,0,0,1,56,9,7,85,217,98,51,83,112
59,0,0,0,0,0,0,1,80,162,60,54,138,31,242,240
214,0,0,0,0,0,0,0,1,219,151,16,20,68,29,205
236,0,0,0,0,0,0,0,0,1,223,167,192,248,213,25
157,0,0,0,0,0,0,0,0,0,1,242,216,99,10,144
167,0,0,0,0,0,0,0,0,0,0,1,138,10,86,141
97,0,0,0,0,0,0,0,0,0,0,0,1,157,13,171
152,0,0,0,0,0,0,0,0,0,0,0,0,1,37,250
72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
