1,110,163,187,167,34,204,106,116,148,44,56,56,194,141,221
67,203,123,66,219,21,178,114,28,28,42,153,118,223,104,92
28,8,213,207,189,57,241,153,158,14,204,225,78,136,30,241
206,132,42,123,206,247,61,94,234,138,253,194,216,144,9,4
97,174,195,219,72,29,124,240,115,200,113,188,250,76,219,62
90,172,78,190,182,245,89,68,179,235,107,132,190,208,247,110
120,144,104,168,72,240,161,120,215,252,86,247,140,165,211,236
133,38,175,39,195,170,252,19,244,178,94,156,118,71,182,103
165,230,15,135,163,234,124,82,197,137,138,105,202,208,81,8
244,216,92,60,44,104,112,8,144,17,17,135,194,141,88,120
213,134,159,151,243,74,188,50,132,36,157,166,52,207,14,169
13,150,71,127,123,186,92,98,228,132,60,217,78,114,221,250
157,118,247,175,107,218,28,2,36,196,252,88,89,93,29,128
100,248,172,12,60,72,176,104,80,208,48,224,224,201,239,86
192,128,64,64,64,128,0,128,0,0,0,0,0,128,193,116
202,204,158,142,198,212,248,164,136,200,184,48,48,20,66,99
